DOM,LAC,TB,TATLTPAC
YAA,ANU,ATL,BCN
YAB,AUA,AUS,CDG
YAC,BGI,BNA,DUB
YAD,BON,BOS,EDI
YAG,BZE,DEN,FCO
YAH,CUN,DTW,ICN
YAI,CUR,FLL,KEF
YAJ,CZM,HNL,LGW
YAK,GCM,IAD,LHR
YAL,HUX,IAH,NRT
YAM,KIN,JFK,
YAN,LIR,KOA,
YAO,LTO,LAS,
YAP,MBJ,LAX,
YAQ,MID,LIH,
YAR,MZT,MCO,
YAS,NAS,MSP,
YAT,PLS,OGG,
YAU,POP,ORD,
YAV,PUJ,PDX,
YAX,PVR,PHX,
YAY,RTB,PSP,
YAZ,SJD,RSW,
YBA,SJU,SAN,
YBB,SXM,SEA,
YBC,UVF,SFO,
YBE,VRA,SNA,
YBF,ZIH,TPA,
YBG,ZLO,,
YBH,,,
YBI,,,
YBJ,,,
YBK,,,
YBL,,,
YBO,,,
YBP,,,
YBQ,,,
YBR,,,
YBS,,,
YBT,,,
YBV,,,
YBW,,,
YBX,,,
YBY,,,
YCA,,,
YCB,,,
YCC,,,
YCD,,,
YCE,,,
YCF,,,
YCG,,,
YCH,,,
YCK,,,
YCL,,,
YCM,,,
YCN,,,
YCO,,,
YCQ,,,
YCR,,,
YCS,,,
YCT,,,
YCU,,,
YCW,,,
YCY,,,
YCZ,,,
YDA,,,
YDB,,,
YDC,,,
YDE,,,
YDF,,,
YDG,,,
YDJ,,,
YDL,,,
YDN,,,
YDO,,,
YDP,,,
YDQ,,,
YDT,,,
YDU,,,
YDV,,,
YDW,,,
YEA,,,
YEB,,,
YEC,,,
YEG,,,
YEI,,,
YEK,,,
YEL,,,
YEM,,,
YEN,,,
YEO,,,
YEQ,,,
YER,,,
YES,,,
YET,,,
YEU,,,
YEV,,,
YEY,,,
YFA,,,
YFB,,,
YFC,,,
YFE,,,
YFG,,,
YFH,,,
YFI,,,
YFJ,,,
YFL,,,
YFO,,,
YFR,,,
YFS,,,
YFT,,,
YFX,,,
YGB,,,
YGC,,,
YGE,,,
YGG,,,
YGH,,,
YGJ,,,
YGK,,,
YGL,,,
YGM,,,
YGN,,,
YGO,,,
YGP,,,
YGQ,,,
YGR,,,
YGT,,,
YGV,,,
YGW,,,
YGX,,,
YGZ,,,
YHA,,,
YHB,,,
YHC,,,
YHD,,,
YHE,,,
YHF,,,
YHG,,,
YHH,,,
YHI,,,
YHK,,,
YHM,,,
YHN,,,
YHO,,,
YHP,,,
YHR,,,
YHS,,,
YHT,,,
YHU,,,
YHY,,,
YHZ,,,
YIA,,,
YIB,,,
YIC,,,
YIE,,,
YIF,,,
YIG,,,
YIH,,,
YIK,,,
YIN,,,
YIO,,,
YIP,,,
YIV,,,
YIW,,,
YJA,,,
YJF,,,
YJN,,,
YJP,,,
YJS,,,
YJT,,,
YKA,,,
YKC,,,
YKD,,,
YKE,,,
YKF,,,
YKG,,,
YKH,,,
YKJ,,,
YKK,,,
YKL,,,
YKM,,,
YKN,,,
YKO,,,
YKQ,,,
YKS,,,
YKT,,,
YKU,,,
YKX,,,
YKY,,,
YKZ,,,
YLB,,,
YLC,,,
YLD,,,
YLE,,,
YLG,,,
YLH,,,
YLI,,,
YLJ,,,
YLK,,,
YLL,,,
YLM,,,
YLN,,,
YLP,,,
YLQ,,,
YLR,,,
YLS,,,
YLT,,,
YLV,,,
YLW,,,
YLX,,,
YLY,,,
YMA,,,
YMB,,,
YMD,,,
YME,,,
YMF,,,
YMG,,,
YMH,,,
YMJ,,,
YMK,,,
YML,,,
YMM,,,
YMN,,,
YMO,,,
YMP,,,
YMQ,,,
YMS,,,
YMT,,,
YMU,,,
YMV,,,
YMW,,,
YMX,,,
YNA,,,
YNB,,,
YNC,,,
YND,,,
YNE,,,
YNG,,,
YNH,,,
YNJ,,,
YNL,,,
YNM,,,
YNN,,,
YNO,,,
YNP,,,
YNS,,,
YNT,,,
YNX,,,
YNY,,,
YNZ,,,
YOA,,,
YOC,,,
YOD,,,
YOE,,,
YOG,,,
YOH,,,
YOJ,,,
YOL,,,
YON,,,
YOO,,,
YOP,,,
YOS,,,
YOT,,,
YOW,,,
YPA,,,
YPB,,,
YPC,,,
YPD,,,
YPE,,,
YPG,,,
YPH,,,
YPI,,,
YPJ,,,
YPL,,,
YPM,,,
YPN,,,
YPO,,,
YPQ,,,
YPR,,,
YPS,,,
YPT,,,
YPW,,,
YPX,,,
YPY,,,
YPZ,,,
YQA,,,
YQB,,,
YQC,,,
YQD,,,
YQF,,,
YQG,,,
YQH,,,
YQI,,,
YQJ,,,
YQK,,,
YQL,,,
YQM,,,
YQN,,,
YQQ,,,
YQR,,,
YQS,,,
YQT,,,
YQU,,,
YQV,,,
YQW,,,
YQX,,,
YQY,,,
YQZ,,,
YRA,,,
YRB,,,
YRC,,,
YRD,,,
YRF,,,
YRG,,,
YRI,,,
YRJ,,,
YRL,,,
YRM,,,
YRN,,,
YRO,,,
YRQ,,,
YRR,,,
YRS,,,
YRT,,,
YRV,,,
YSA,,,
YSB,,,
YSC,,,
YSE,,,
YSF,,,
YSG,,,
YSH,,,
YSI,,,
YSJ,,,
YSK,,,
YSL,,,
YSM,,,
YSN,,,
YSO,,,
YSP,,,
YSQ,,,
YST,,,
YSU,,,
YSX,,,
YSY,,,
YTA,,,
YTB,,,
YTD,,,
YTE,,,
YTF,,,
YTG,,,
YTH,,,
YTL,,,
YTM,,,
YTO,,,
YTP,,,
YTQ,,,
YTR,,,
YTS,,,
YTT,,,
YTU,,,
YTW,,,
YTX,,,
YTY,,,
YTZ,,,
YUA,,,
YUB,,,
YUD,,,
YUE,,,
YUL,,,
YUM,,,
YUS,,,
YUT,,,
YUX,,,
YUY,,,
YVA,,,
YVB,,,
YVC,,,
YVD,,,
YVE,,,
YVG,,,
YVM,,,
YVN,,,
YVO,,,
YVP,,,
YVQ,,,
YVR,,,
YVT,,,
YVV,,,
YVZ,,,
-YW-,,,
YWA,,,
YWB,,,
YWG,,,
YWH,,,
YWJ,,,
YWK,,,
YWL,,,
YWM,,,
YWP,,,
YWQ,,,
YWR,,,
YWS,,,
YWY,,,
YXC,,,
YXD,,,
YXE,,,
YXH,,,
YXJ,,,
YXK,,,
YXL,,,
YXN,,,
YXP,,,
YXQ,,,
YXR,,,
YXS,,,
YXT,,,
YXU,,,
YXX,,,
YXY,,,
YXZ,,,
YYA,,,
YYB,,,
YYC,,,
YYD,,,
YYE,,,
YYF,,,
YYG,,,
YYH,,,
YYI,,,
YYJ,,,
YYL,,,
YYM,,,
YYN,,,
YYQ,,,
YYR,,,
YYT,,,
YYU,,,
YYW,,,
YYY,,,
YYZ,,,
YZA,,,
YZE,,,
YZF,,,
YZG,,,
YZH,,,
YZP,,,
YZR,,,
YZS,,,
YZT,,,
YZU,,,
YZV,,,
YZW,,,
YZX,,,
YZY,,,
YZZ,,,
